,HR,R,RBI,SB,W,SOLD,SO
"Adbert Alzolay (CHC)",0,0,0,0,3,29,69
"Ketel Marte (ARI)",22,83,86,7,0,0,0
"Dansby Swanson (CHC)",26,87,87,15,0,0,0
"Chris Sale (ATL)",0,0,0,0,9,0,153
"Lane Thomas (WSN)",19,75,67,16,0,0,0
"Teoscar Hernandez (LAD)",29,83,86,10,0,0,0
"George Springer (TOR)",22,78,72,14,0,0,0
"Josh Naylor (CLE)",21,69,81,7,0,0,0
"Jordan Walker (STL)",16,69,64,10,0,0,0
"Anthony Volpe (NYY)",18,76,62,23,0,0,0
"Kenley Jansen (BOS)",0,0,0,0,3,31,70
"Esteury Ruiz (OAK)",7,65,28,50,0,0,0
"Salvador Perez (KCR)",25,60,81,0,0,0,0
"Chris Bassitt (TOR)",0,0,0,0,12,0,162
"Evan Carter (TEX)",16,77,59,19,0,0,0
"Josh Jung (TEX)",24,72,79,4,0,0,0
"Thairo Estrada (SFG)",11,72,53,24,0,0,0
"Jackson Chourio (MIL)",14,61,59,18,0,0,0
"Willson Contreras (STL)",20,67,65,6,0,0,0
"Michael King (SDP)",0,0,0,0,9,1,154
"Yandy Diaz (TBR)",19,77,73,3,0,0,0
"Bailey Ober (MIN)",0,0,0,0,9,0,151
"Carlos Rodon (NYY)",0,0,0,0,10,0,157
"Zack Gelof (OAK)",17,71,60,20,0,0,0
"Hunter Greene (CIN)",0,0,0,0,9,0,187
"Cal Raleigh (SEA)",26,60,73,1,0,0,0
"Sean Murphy (ATL)",22,65,68,0,0,0,0
"Kodai Senga (NYM)",0,0,0,0,7,0,113
"Anthony Santander (BAL)",30,76,88,3,0,0,0
"Merrill Kelly (ARI)",0,0,0,0,11,0,170
"Justin Verlander (HOU)",0,0,0,0,9,0,121
"Cedric Mullins (BAL)",21,79,63,31,0,0,0
"Francisco Alvarez (NYM)",22,57,65,2,0,0,0
"Jake Burger (MIA)",28,73,86,2,0,0,0
"Jarren Duran (BOS)",15,75,57,29,0,0,0
"Shane Bieber (CLE)",0,0,0,0,10,0,157
"Logan O'Hoppe (LAA)",23,63,67,3,0,0,0
"Gabriel Moreno (ARI)",8,56,53,5,0,0,0
"Wyatt Langford (TEX)",16,62,57,12,0,0,0
"Jordan Montgomery ()",0,0,0,0,10,0,150
"TJ Friedl (CIN)",15,69,56,22,0,0,0
"Jose Alvarado (PHI)",0,0,0,0,3,30,86
"Ke'Bryan Hayes (PIT)",15,73,68,16,0,0,0
