Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Julian Merryweather,CHC,Julian Merryweather (CHC),0,0,0,0,0,3,2,14,75,1.27,3.97,360.88,350,360,0,0,0,0,0,0,0,0,1
Aroldis Chapman,PIT,Aroldis Chapman (PIT),0,0,0,0,0,4,5,11,76,1.31,3.7,335.82,256,358,0,0,0,0,0,0,0,0,1
Andrew Nardi,MIA,Andrew Nardi (MIA),0,0,0,0,0,4,2,12,67,1.28,3.9,358.26,235,359,0,0,0,0,0,0,0,0,1
Ryan Helsley,STL,Ryan Helsley (STL),0,0,0,0,0,5,30,4,62,1.19,3.46,99.07,74,126,0,0,0,0,0,0,0,0,1
Justin Lawrence,COL,Justin Lawrence (COL),0,0,0,0,0,5,17,7,76,1.37,4.55,344.17,221,360,0,0,0,0,0,0,0,0,1
Jason Adam,TBR,Jason Adam (TBR),0,0,0,0,0,4,3,12,66,1.1,3.48,328.23,216,360,0,0,0,0,0,0,0,0,1
Evan Phillips,LAD,Evan Phillips (LAD),0,0,0,0,0,4,30,5,64,1.15,3.52,79.22,51,114,0,0,0,0,0,0,0,0,1
Carlos Estévez,LAA,Carlos Estevez (LAA),0,0,0,0,0,4,25,5,63,1.27,4.25,195.8,118,257,0,0,0,0,0,0,0,0,1
Kevin Ginkel,ARI,Kevin Ginkel (ARI),0,0,0,0,0,5,9,10,66,1.25,3.6,321.07,149,355,0,0,0,0,0,0,0,0,1
John Brebbia,CHW,John Brebbia (CHW),0,0,0,0,0,3,2,12,46,1.31,4.47,357.55,267,360,0,0,0,0,0,0,0,0,1
Jeff Hoffman,PHI,Jeff Hoffman (PHI),0,0,0,0,0,4,2,12,65,1.23,4.13,353.69,274,360,0,0,0,0,0,0,0,0,1
Héctor Neris,CHC,Hector Neris (CHC),0,0,0,0,0,4,6,12,66,1.21,3.9,348.31,231,360,0,0,0,0,0,0,0,0,1
Brusdar Graterol,LAD,Brusdar Graterol (LAD),0,0,0,0,0,4,8,10,49,1.18,3.69,360.27,292,360,0,0,0,0,0,0,0,0,1
Jonathan Loáisiga,NYY,Jonathan Loaisiga (NYY),0,0,0,0,0,5,3,13,46,1.15,3.68,360.99,359,359,0,0,0,0,0,0,0,0,1
Ian Hamilton,NYY,Ian Hamilton (NYY),0,0,0,0,0,4,2,15,66,1.33,4.14,360.98,357,357,0,0,0,0,0,0,0,0,1
Paul Sewald,ARI,Paul Sewald (ARI),0,0,0,0,0,4,26,4,66,1.18,3.6,122.14,61,344,0,0,0,0,0,0,0,0,1
Tyler Alexander,TBR,Tyler Alexander (TBR),0,0,0,0,0,4,0,1,60,1.23,4.39,360.96,354,354,0,0,0,0,0,0,0,0,1
Joel Payamps,MIL,Joel Payamps (MIL),0,0,0,0,0,5,4,14,64,1.29,4.02,290.26,181,360,0,0,0,0,0,0,0,0,1
James McArthur,KCR,James McArthur (KCR),0,0,0,0,0,3,17,8,66,1.38,4.56,328.63,235,360,0,0,0,0,0,0,0,0,1
Scott McGough,ARI,Scott McGough (ARI),0,0,0,0,0,4,2,14,64,1.35,4.2,360.89,352,358,0,0,0,0,0,0,0,0,1
Garrett Crochet,CHW,Garrett Crochet (CHW),0,0,0,0,0,4,0,1,65,1.34,3.98,339.01,228,359,0,0,0,0,0,0,0,0,1
Kyle Finnegan,WSN,Kyle Finnegan (WSN),0,0,0,0,0,5,22,7,59,1.33,4.13,237.33,146,336,0,0,0,0,0,0,0,0,1
John Schreiber,KCR,John Schreiber (KCR),0,0,0,0,0,3,1,15,59,1.32,4.21,360.96,354,354,0,0,0,0,0,0,0,0,1
Clay Holmes,NYY,Clay Holmes (NYY),0,0,0,0,0,5,31,3,67,1.2,3.84,98.44,75,123,0,0,0,0,0,0,0,0,1
Seranthony Domínguez,PHI,Seranthony Dominguez (PHI),0,0,0,0,0,6,3,13,59,1.35,4.15,360.9,352,353,0,0,0,0,0,0,0,0,1
Chris Martin,BOS,Chris Martin (BOS),0,0,0,0,0,3,3,13,40,1.29,3.95,358.89,271,357,0,0,0,0,0,0,0,0,1
Alex Lange,DET,Alex Lange (DET),0,0,0,0,0,5,21,6,83,1.34,4.16,186.09,92,248,0,0,0,0,0,0,0,0,1
Joe Boyle,OAK,Joe Boyle (OAK),0,0,0,0,0,5,0,1,115,1.61,4.77,350.47,291,359,0,0,0,0,0,0,0,0,1
