Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Jonathan India,CIN,Jonathan India (CIN),20,85,64,13,0.346,0,0,0,0,0,0,247.98,152,356,0,0,1,0,0,1,0,1,0
Josh Lowe,TBR,Josh Lowe (TBR),16,58,58,20,0.323,0,0,0,0,0,0,131.72,58,234,0,0,0,0,0,0,1,1,0
Ty France,SEA,Ty France (SEA),17,71,69,1,0.341,0,0,0,0,0,0,344.41,244,359,0,1,0,0,0,1,0,1,0
Rhys Hoskins,MIL,Rhys Hoskins (MIL),31,85,92,3,0.332,0,0,0,0,0,0,187.72,143,241,0,1,0,0,0,1,0,1,0
Maikel Garcia,KCR,Maikel Garcia (KCR),8,71,48,22,0.334,0,0,0,0,0,0,194.43,135,266,0,0,0,1,0,1,0,1,0
Henry Davis,PIT,Henry Davis (PIT),15,54,55,9,0.338,0,0,0,0,0,0,203.01,149,335,1,0,0,0,0,0,1,1,0
DJ LeMahieu,NYY,DJ LeMahieu (NYY),13,66,54,4,0.341,0,0,0,0,0,0,347.35,257,359,0,1,0,1,0,1,0,1,0
Leody Taveras,TEX,Leody Taveras (TEX),13,58,56,15,0.317,0,0,0,0,0,0,305.41,207,359,0,0,0,0,0,0,1,1,0
Luis Rengifo,LAA,Luis Rengifo (LAA),16,59,59,8,0.32,0,0,0,0,0,0,254.82,158,343,0,0,1,1,1,1,1,1,0
Chas McCormick,HOU,Chas McCormick (HOU),18,59,61,13,0.325,0,0,0,0,0,0,149.9,102,182,0,0,0,0,0,0,1,1,0
Gavin Lux,LAD,Gavin Lux (LAD),10,53,47,8,0.342,0,0,0,0,0,0,286.15,155,360,0,0,1,0,0,1,1,1,0
Jordan Westburg,BAL,Jordan Westburg (BAL),11,45,44,5,0.323,0,0,0,0,0,0,308.7,183,360,0,0,1,1,0,1,0,1,0
Jorge Soler,SFG,Jorge Soler (SFG),33,89,86,2,0.332,0,0,0,0,0,0,164.77,109,234,0,0,0,0,0,0,1,1,0
Trevor Story,BOS,Trevor Story (BOS),21,75,78,23,0.304,0,0,0,0,0,0,165.18,108,224,0,0,0,0,1,1,0,1,0
Colt Keith,DET,Colt Keith (DET),14,52,54,3,0.326,0,0,0,0,0,0,291.82,211,354,0,0,1,1,0,1,0,1,0
Ryan Mountcastle,BAL,Ryan Mountcastle (BAL),24,69,77,4,0.326,0,0,0,0,0,0,256.06,181,331,0,1,0,0,0,1,0,1,0
Spencer Torkelson,DET,Spencer Torkelson (DET),30,83,90,3,0.332,0,0,0,0,0,0,121.16,61,168,0,1,0,0,0,1,0,1,0
Logan O'Hoppe,LAA,Logan O'Hoppe (LAA),22,57,64,3,0.329,0,0,0,0,0,0,156.93,121,199,1,0,0,0,0,0,0,1,0
Parker Meadows,DET,Parker Meadows (DET),15,70,52,13,0.309,0,0,0,0,0,0,243.36,173,320,0,0,0,0,0,0,1,1,0
Davis Schneider,TOR,Davis Schneider (TOR),13,46,45,4,0.339,0,0,0,0,0,0,357.95,274,357,0,0,1,0,0,1,0,1,0
Christopher Morel,CHC,Christopher Morel (CHC),25,67,75,10,0.314,0,0,0,0,0,0,175.45,123,212,0,0,0,0,0,0,1,1,0
Jose Siri,TBR,Jose Siri (TBR),21,56,63,17,0.276,0,0,0,0,0,0,289.37,220,359,0,0,0,0,0,0,1,1,0
Brendan Rodgers,COL,Brendan Rodgers (COL),16,68,75,1,0.332,0,0,0,0,0,0,346.42,275,360,0,0,1,0,0,1,0,1,0
Luis Campusano,SDP,Luis Campusano (SDP),16,52,58,2,0.322,0,0,0,0,0,0,196.4,161,252,1,0,0,0,0,0,0,1,0
Masataka Yoshida,BOS,Masataka Yoshida (BOS),17,69,70,5,0.362,0,0,0,0,0,0,190.01,141,257,0,0,0,0,0,0,1,1,0
Ryan Jeffers,MIN,Ryan Jeffers (MIN),13,40,42,3,0.317,0,0,0,0,0,0,263.26,165,357,1,0,0,0,0,0,0,1,0
Austin Hays,BAL,Austin Hays (BAL),16,58,63,4,0.313,0,0,0,0,0,0,342.41,198,360,0,0,0,0,0,0,1,1,0
Geraldo Perdomo,ARI,Geraldo Perdomo (ARI),6,48,38,12,0.338,0,0,0,0,0,0,360.33,321,359,0,0,1,0,1,1,0,1,0
Tyler O'Neill,BOS,Tyler O'Neill (BOS),22,68,72,12,0.327,0,0,0,0,0,0,209.55,161,283,0,0,0,0,0,0,1,1,0
Andrew Vaughn,CHW,Andrew Vaughn (CHW),25,74,81,1,0.323,0,0,0,0,0,0,250.16,198,331,0,1,0,0,0,1,0,1,0
Teoscar Hernández,LAD,Teoscar Hernandez (LAD),28,73,85,7,0.307,0,0,0,0,0,0,110.06,76,144,0,0,0,0,0,0,1,1,0
Eugenio Suárez,ARI,Eugenio Suarez (ARI),21,67,71,2,0.322,0,0,0,0,0,0,299.68,195,357,0,0,0,1,0,1,0,1,0
Harrison Bader,NYM,Harrison Bader (NYM),12,47,46,17,0.3,0,0,0,0,0,0,346.29,264,360,0,0,0,0,0,0,1,1,0
Brett Baty,NYM,Brett Baty (NYM),15,49,51,3,0.319,0,0,0,0,0,0,354.05,246,360,0,0,0,1,0,1,0,1,0
Nolan Schanuel,LAA,Nolan Schanuel (LAA),13,59,53,3,0.365,0,0,0,0,0,0,354.02,235,357,0,1,0,0,0,1,0,1,0
Austin Wells,NYY,Austin Wells (NYY),12,37,39,3,0.306,0,0,0,0,0,0,329.06,225,360,1,0,0,0,0,0,0,1,0
Brandon Marsh,PHI,Brandon Marsh (PHI),12,58,55,10,0.33,0,0,0,0,0,0,356.01,256,360,0,0,0,0,0,0,1,1,0
Christian Encarnacion-Strand,CIN,Christian Encarnacion-Strand (CIN),27,67,79,3,0.329,0,0,0,0,0,0,126.06,74,199,0,1,0,0,0,1,0,1,0
Matt McLain,CIN,Matt McLain (CIN),11,41,38,9,0.335,0,0,0,0,0,0,185.99,37,358,0,0,1,0,1,1,0,1,0
Ryan McMahon,COL,Ryan McMahon (COL),21,69,72,7,0.327,0,0,0,0,0,0,241.16,177,294,0,0,1,1,0,1,0,1,0
Danny Jansen,TOR,Danny Jansen (TOR),13,33,37,1,0.313,0,0,0,0,0,0,346.64,226,360,1,0,0,0,0,0,0,1,0
Tommy Edman,STL,Tommy Edman (STL),9,52,42,20,0.32,0,0,0,0,0,0,269.8,137,356,0,0,1,0,1,1,1,1,0
Alex Verdugo,NYY,Alex Verdugo (NYY),12,56,54,4,0.327,0,0,0,0,0,0,323.33,238,360,0,0,0,0,0,0,1,1,0
Ryan Noda,OAK,Ryan Noda (OAK),20,76,57,6,0.338,0,0,0,0,0,0,359.91,286,346,0,1,0,0,0,1,0,1,0
Jake Rogers,DET,Jake Rogers (DET),14,37,39,3,0.28,0,0,0,0,0,0,350.41,274,360,1,0,0,0,0,0,0,1,0
Mitch Garver,SEA,Mitch Garver (SEA),24,64,72,1,0.328,0,0,0,0,0,0,173.27,107,230,1,0,0,0,0,0,0,1,0
René Pinto,TBR,Rene Pinto (TBR),12,37,40,3,0.272,0,0,0,0,0,0,357.12,254,360,1,0,0,0,0,0,0,1,0
Masyn Winn,STL,Masyn Winn (STL),10,49,46,10,0.308,0,0,0,0,0,0,350.64,277,360,0,0,0,0,1,1,0,1,0
Tim Anderson,MIA,Tim Anderson (MIA),8,63,56,14,0.321,0,0,0,0,0,0,324.56,224,360,0,0,0,0,1,1,0,1,0
Luis García Jr.,WSN,Luis Garcia Jr. (WSN),11,49,48,7,0.323,0,0,0,0,0,0,360.86,348,349,0,0,1,0,0,1,0,1,0
Orlando Arcia,ATL,Orlando Arcia (ATL),16,60,62,2,0.317,0,0,0,0,0,0,352.66,284,360,0,0,0,0,1,1,0,1,0
Andrew Benintendi,CHW,Andrew Benintendi (CHW),12,76,55,12,0.338,0,0,0,0,0,0,357.27,312,358,0,0,0,0,0,0,1,1,0
Lourdes Gurriel Jr.,ARI,Lourdes Gurriel Jr. (ARI),17,66,72,4,0.327,0,0,0,0,0,0,231.04,191,287,0,0,0,0,0,0,1,1,0
Keibert Ruiz,WSN,Keibert Ruiz (WSN),16,52,57,3,0.326,0,0,0,0,0,0,181.76,150,237,1,0,0,0,0,0,0,1,0
Brayan Rocchio,CLE,Brayan Rocchio (CLE),6,42,38,8,0.318,0,0,0,0,0,0,360.6,330,356,0,0,0,0,1,1,0,1,0
TJ Friedl,CIN,TJ Friedl (CIN),12,53,44,14,0.333,0,0,0,0,0,0,262.9,126,360,0,0,0,0,0,0,1,1,0
Anthony Rizzo,NYY,Anthony Rizzo (NYY),24,72,78,5,0.334,0,0,0,0,0,0,236.99,169,336,0,1,0,0,0,1,0,1,0
Jeimer Candelario,CIN,Jeimer Candelario (CIN),21,70,75,4,0.326,0,0,0,0,0,0,203.85,157,252,0,1,0,1,0,1,0,1,0
Lane Thomas,WSN,Lane Thomas (WSN),24,83,75,15,0.311,0,0,0,0,0,0,108.93,80,140,0,0,0,0,0,0,1,1,0
Jackson Merrill,SDP,Jackson Merrill (SDP),11,52,51,8,0.306,0,0,0,0,0,0,270.46,181,359,0,0,0,0,1,1,1,1,0
LaMonte Wade Jr.,SFG,LaMonte Wade Jr. (SFG),17,62,57,3,0.348,0,0,0,0,0,0,359.86,315,356,0,1,0,0,0,1,1,1,0
Spencer Steer,CIN,Spencer Steer (CIN),20,72,75,8,0.335,0,0,0,0,0,0,101.05,52,145,0,1,0,1,0,1,1,1,0
Mark Canha,DET,Mark Canha (DET),13,59,57,7,0.353,0,0,0,0,0,0,359.94,310,345,0,0,0,0,0,0,1,1,0
Christian Vázquez,MIN,Christian Vazquez (MIN),6,30,30,2,0.299,0,0,0,0,0,0,360.9,343,343,1,0,0,0,0,0,0,1,0
Travis d'Arnaud,ATL,Travis d'Arnaud (ATL),12,40,44,1,0.304,0,0,0,0,0,0,359.56,231,359,1,0,0,0,0,0,0,1,0
Jordan Walker,STL,Jordan Walker (STL),18,63,68,9,0.335,0,0,0,0,0,0,116.47,73,216,0,0,0,0,0,0,1,1,0
Iván Herrera,STL,Ivan Herrera (STL),5,22,20,2,0.358,0,0,0,0,0,0,360.4,302,357,1,0,0,0,0,0,0,1,0
MJ Melendez,KCR,MJ Melendez (KCR),21,71,71,6,0.332,0,0,0,0,0,0,279.78,233,357,0,0,0,0,0,0,1,1,0
Brandon Drury,LAA,Brandon Drury (LAA),24,69,78,3,0.3,0,0,0,0,0,0,223.31,169,293,0,1,1,0,0,1,0,1,0
