Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Junior Caminero,TBR,Junior Caminero (TBR),10,36,38,4,0.321,0,0,0,0,0,0,293.89,189,360,0,0,0,1,0,1,0,1,0
Thairo Estrada,SFG,Thairo Estrada (SFG),11,71,52,24,0.307,0,0,0,0,0,0,137.76,99,176,0,0,1,0,1,1,0,1,0
Brendan Donovan,STL,Brendan Donovan (STL),8,60,50,6,0.358,0,0,0,0,0,0,297.77,233,360,0,0,1,0,0,1,1,1,0
Henry Davis,PIT,Henry Davis (PIT),14,57,54,9,0.332,0,0,0,0,0,0,203.01,149,335,1,0,0,0,0,0,1,1,0
Leody Taveras,TEX,Leody Taveras (TEX),12,60,48,18,0.306,0,0,0,0,0,0,305.41,207,359,0,0,0,0,0,0,1,1,0
Amed Rosario,TBR,Amed Rosario (TBR),6,44,37,12,0.312,0,0,0,0,0,0,346.36,222,358,0,0,1,0,1,1,0,1,0
Jack Suwinski,PIT,Jack Suwinski (PIT),23,65,68,9,0.322,0,0,0,0,0,0,233.97,184,305,0,0,0,0,0,0,1,1,0
Ryan McMahon,COL,Ryan McMahon (COL),21,73,74,7,0.329,0,0,0,0,0,0,241.16,177,294,0,0,1,1,0,1,0,1,0
Shea Langeliers,OAK,Shea Langeliers (OAK),19,48,57,3,0.281,0,0,0,0,0,0,280.17,178,355,1,0,0,0,0,0,0,1,0
Lourdes Gurriel Jr.,ARI,Lourdes Gurriel Jr. (ARI),14,67,69,5,0.33,0,0,0,0,0,0,231.04,191,287,0,0,0,0,0,0,1,1,0
Nolan Schanuel,LAA,Nolan Schanuel (LAA),7,60,44,3,0.365,0,0,0,0,0,0,354.02,235,357,0,1,0,0,0,1,0,1,0
Mark Canha,DET,Mark Canha (DET),11,61,51,6,0.348,0,0,0,0,0,0,359.94,310,345,0,0,0,0,0,0,1,1,0
Triston Casas,BOS,Triston Casas (BOS),25,71,77,1,0.341,0,0,0,0,0,0,89.07,64,118,0,1,0,0,0,1,0,1,0
Spencer Steer,CIN,Spencer Steer (CIN),20,71,73,8,0.33,0,0,0,0,0,0,101.05,52,145,0,1,0,1,0,1,1,1,0
Chris Taylor,LAD,Chris Taylor (LAD),15,53,48,10,0.316,0,0,0,0,0,0,355.98,213,360,0,0,0,1,1,1,1,1,0
LaMonte Wade Jr.,SFG,LaMonte Wade Jr. (SFG),16,57,53,3,0.342,0,0,0,0,0,0,359.86,315,356,0,1,0,0,0,1,1,1,0
Mitch Garver,SEA,Mitch Garver (SEA),21,55,60,1,0.321,0,0,0,0,0,0,173.27,107,230,1,0,0,0,0,0,0,1,0
Masataka Yoshida,BOS,Masataka Yoshida (BOS),15,69,68,3,0.349,0,0,0,0,0,0,190.01,141,257,0,0,0,0,0,0,1,1,0
Gabriel Moreno,ARI,Gabriel Moreno (ARI),8,55,51,5,0.333,0,0,0,0,0,0,161.74,129,221,1,0,0,0,0,0,0,1,0
Ryan Noda,OAK,Ryan Noda (OAK),17,59,54,6,0.333,0,0,0,0,0,0,359.91,286,346,0,1,0,0,0,1,0,1,0
MJ Melendez,KCR,MJ Melendez (KCR),21,70,71,6,0.326,0,0,0,0,0,0,279.78,233,357,0,0,0,0,0,0,1,1,0
Andrew Vaughn,CHW,Andrew Vaughn (CHW),22,67,72,0,0.322,0,0,0,0,0,0,250.16,198,331,0,1,0,0,0,1,0,1,0
Jordan Walker,STL,Jordan Walker (STL),16,69,64,10,0.328,0,0,0,0,0,0,116.47,73,216,0,0,0,0,0,0,1,1,0
Luis García Jr.,WSN,Luis Garcia Jr. (WSN),9,52,50,9,0.317,0,0,0,0,0,0,360.86,348,349,0,0,1,0,0,1,0,1,0
Eloy Jiménez,CHW,Eloy Jimenez (CHW),22,63,68,0,0.326,0,0,0,0,0,0,214.1,155,275,0,0,0,0,0,0,0,1,0
Yan Gomes,CHC,Yan Gomes (CHC),9,37,43,1,0.295,0,0,0,0,0,0,358.13,233,360,1,0,0,0,0,0,0,1,0
DJ LeMahieu,NYY,DJ LeMahieu (NYY),9,57,48,2,0.328,0,0,0,0,0,0,347.35,257,359,0,1,0,1,0,1,0,1,0
Dylan Carlson,STL,Dylan Carlson (STL),9,41,39,3,0.332,0,0,0,0,0,0,360.4,301,360,0,0,0,0,0,0,1,1,0
Anthony Rizzo,NYY,Anthony Rizzo (NYY),21,66,66,5,0.331,0,0,0,0,0,0,236.99,169,336,0,1,0,0,0,1,0,1,0
Kyle Isbel,KCR,Kyle Isbel (KCR),10,49,41,13,0.302,0,0,0,0,0,0,360.39,278,337,0,0,0,0,0,0,1,1,0
Jake Rogers,DET,Jake Rogers (DET),13,39,42,2,0.291,0,0,0,0,0,0,350.41,274,360,1,0,0,0,0,0,0,1,0
Ramón Laureano,CLE,Ramon Laureano (CLE),14,55,54,12,0.319,0,0,0,0,0,0,360.66,335,354,0,0,0,0,0,0,1,1,0
Lane Thomas,WSN,Lane Thomas (WSN),19,75,67,16,0.308,0,0,0,0,0,0,108.93,80,140,0,0,0,0,0,0,1,1,0
Christian Vázquez,MIN,Christian Vazquez (MIN),4,27,26,3,0.284,0,0,0,0,0,0,360.9,343,343,1,0,0,0,0,0,0,1,0
Harrison Bader,NYM,Harrison Bader (NYM),12,53,41,23,0.294,0,0,0,0,0,0,346.29,264,360,0,0,0,0,0,0,1,1,0
Parker Meadows,DET,Parker Meadows (DET),13,58,50,12,0.291,0,0,0,0,0,0,243.36,173,320,0,0,0,0,0,0,1,1,0
Brandon Drury,LAA,Brandon Drury (LAA),22,64,69,2,0.302,0,0,0,0,0,0,223.31,169,293,0,1,1,0,0,1,0,1,0
José Caballero,TBR,Jose Caballero (TBR),6,34,23,15,0.313,0,0,0,0,0,0,352.47,265,360,0,0,1,0,1,1,0,1,0
Esteury Ruiz,OAK,Esteury Ruiz (OAK),6,63,27,50,0.3,0,0,0,0,0,0,125.93,71,235,0,0,0,0,0,0,1,1,0
Luis Campusano,SDP,Luis Campusano (SDP),12,45,51,0,0.305,0,0,0,0,0,0,196.4,161,252,1,0,0,0,0,0,0,1,0
Geraldo Perdomo,ARI,Geraldo Perdomo (ARI),6,52,31,15,0.321,0,0,0,0,0,0,360.33,321,359,0,0,1,0,1,1,0,1,0
Zach McKinstry,DET,Zach McKinstry (DET),8,41,35,9,0.313,0,0,0,0,0,0,360.44,318,353,0,0,1,1,1,1,1,1,0
Jordan Lawlar,ARI,Jordan Lawlar (ARI),6,36,30,12,0.312,0,0,0,0,0,0,356.33,283,360,0,0,0,0,1,1,0,1,0
Bryan De La Cruz,MIA,Bryan De La Cruz (MIA),16,64,68,4,0.323,0,0,0,0,0,0,303.82,224,359,0,0,0,0,0,0,1,1,0
Michael Conforto,SFG,Michael Conforto (SFG),14,56,53,2,0.345,0,0,0,0,0,0,360.34,315,360,0,0,0,0,0,0,1,1,0
Giancarlo Stanton,NYY,Giancarlo Stanton (NYY),27,56,68,0,0.314,0,0,0,0,0,0,247.91,154,329,0,0,0,0,0,0,1,1,0
Austin Hays,BAL,Austin Hays (BAL),16,62,63,5,0.305,0,0,0,0,0,0,342.41,198,360,0,0,0,0,0,0,1,1,0
Jake Meyers,HOU,Jake Meyers (HOU),10,44,39,7,0.303,0,0,0,0,0,0,360.94,351,351,0,0,0,0,0,0,1,1,0
Connor Wong,BOS,Connor Wong (BOS),13,43,42,6,0.285,0,0,0,0,0,0,350.55,204,360,1,0,0,0,0,0,0,1,0
Michael Massey,KCR,Michael Massey (KCR),13,50,52,7,0.305,0,0,0,0,0,0,360.9,344,344,0,0,1,0,0,1,0,1,0
Tim Anderson,MIA,Tim Anderson (MIA),5,61,49,18,0.32,0,0,0,0,0,0,324.56,224,360,0,0,0,0,1,1,0,1,0
Salvador Perez,KCR,Salvador Perez (KCR),25,59,81,0,0.294,0,0,0,0,0,0,132.71,79,182,1,1,0,0,0,1,0,1,0
Javier Báez,DET,Javier Baez (DET),14,63,58,14,0.293,0,0,0,0,0,0,360.68,324,359,0,0,0,0,1,1,0,1,0
Colt Keith,DET,Colt Keith (DET),13,52,53,3,0.305,0,0,0,0,0,0,291.82,211,354,0,0,1,1,0,1,0,1,0
Orlando Arcia,ATL,Orlando Arcia (ATL),13,57,55,2,0.301,0,0,0,0,0,0,352.66,284,360,0,0,0,0,1,1,0,1,0
Kevin Kiermaier,TOR,Kevin Kiermaier (TOR),6,46,34,12,0.302,0,0,0,0,0,0,360.82,329,329,0,0,0,0,0,0,1,1,0
Brice Turang,MIL,Brice Turang (MIL),9,55,42,21,0.303,0,0,0,0,0,0,330.43,226,360,0,0,1,0,1,1,0,1,0
Pete Crow-Armstrong,CHC,Pete Crow-Armstrong (CHC),6,32,26,10,0.31,0,0,0,0,0,0,360.11,290,360,0,0,0,0,0,0,1,1,0
Brenton Doyle,COL,Brenton Doyle (COL),14,58,46,18,0.286,0,0,0,0,0,0,351.63,272,360,0,0,0,0,0,0,1,1,0
