Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Martín Pérez,PIT,Martin Perez (PIT),0,0,0,0,0,8,0,0,103,1.42,4.49,360.85,341,359,0,0,0,0,0,0,0,0,1
Michael Wacha,KCR,Michael Wacha (KCR),0,0,0,0,0,8,0,0,110,1.29,4.43,289.93,226,359,0,0,0,0,0,0,0,0,1
Kyle Bradish,BAL,Kyle Bradish (BAL),0,0,0,0,0,7,0,0,99,1.21,3.71,334.24,216,360,0,0,0,0,0,0,0,0,1
Logan Allen,CLE,Logan Allen (CLE),0,0,0,0,0,8,0,0,128,1.3,4.14,328.05,240,359,0,0,0,0,0,0,0,0,1
Nick Martinez,CIN,Nick Martinez (CIN),0,0,0,0,0,6,2,3,113,1.37,4.4,357.16,310,358,0,0,0,0,0,0,0,0,1
Zack Littell,TBR,Zack Littell (TBR),0,0,0,0,0,7,0,0,108,1.26,4.37,312.97,258,355,0,0,0,0,0,0,0,0,1
Kyle Hendricks,CHC,Kyle Hendricks (CHC),0,0,0,0,0,8,0,0,98,1.31,4.58,358.8,281,350,0,0,0,0,0,0,0,0,1
Edward Cabrera,MIA,Edward Cabrera (MIA),0,0,0,0,0,7,0,0,126,1.34,4.04,322.48,230,358,0,0,0,0,0,0,0,0,1
Jack Flaherty,DET,Jack Flaherty (DET),0,0,0,0,0,8,0,0,135,1.39,4.49,293.27,157,359,0,0,0,0,0,0,0,0,1
A.J. Puk,MIA,A.J. Puk (MIA),0,0,0,0,0,6,3,2,109,1.25,4.01,236.71,180,347,0,0,0,0,0,0,0,0,1
Reynaldo López,ATL,Reynaldo Lopez (ATL),0,0,0,0,0,7,3,2,109,1.26,3.99,318.53,231,358,0,0,0,0,0,0,0,0,1
Luis Severino,NYM,Luis Severino (NYM),0,0,0,0,0,7,0,0,121,1.3,4.52,227.69,169,336,0,0,0,0,0,0,0,0,1
Ryan Pepiot,TBR,Ryan Pepiot (TBR),0,0,0,0,0,8,0,0,127,1.21,3.99,181.84,118,240,0,0,0,0,0,0,0,0,1
Bryan Woo,SEA,Bryan Woo (SEA),0,0,0,0,0,5,0,0,106,1.19,3.93,201.27,134,357,0,0,0,0,0,0,0,0,1
Edwin Díaz,NYM,Edwin Diaz (NYM),0,0,0,0,0,3,34,1,97,1.04,2.7,43.41,28,59,0,0,0,0,0,0,0,0,1
Shane Baz,TBR,Shane Baz (TBR),0,0,0,0,0,6,0,0,97,1.18,3.79,314.35,197,360,0,0,0,0,0,0,0,0,1
Garrett Crochet,CHW,Garrett Crochet (CHW),0,0,0,0,0,6,0,1,127,1.37,4.12,339.01,228,359,0,0,0,0,0,0,0,0,1
JP Sears,OAK,JP Sears (OAK),0,0,0,0,0,8,0,0,144,1.24,4.33,342.02,261,360,0,0,0,0,0,0,0,0,1
