Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Jeff Hoffman,PHI,Jeff Hoffman (PHI),0,0,0,0,0,2,2,12,76,1.3,4.2,353.69,274,360,0,0,0,0,0,0,0,0,1
Tyler Alexander,TBR,Tyler Alexander (TBR),0,0,0,0,0,3,0,1,51,1.27,4.6,360.96,354,354,0,0,0,0,0,0,0,0,1
Lucas Erceg,OAK,Lucas Erceg (OAK),0,0,0,0,0,2,6,10,67,1.42,3.92,360.25,230,360,0,0,0,0,0,0,0,0,1
Robert Stephenson,LAA,Robert Stephenson (LAA),0,0,0,0,0,2,7,10,65,1.16,4.08,336.12,235,360,0,0,0,0,0,0,0,0,1
Julian Merryweather,CHC,Julian Merryweather (CHC),0,0,0,0,0,2,2,14,73,1.35,4.48,360.88,350,360,0,0,0,0,0,0,0,0,1
Carlos Estévez,LAA,Carlos Estevez (LAA),0,0,0,0,0,2,25,5,68,1.29,4.34,195.8,118,257,0,0,0,0,0,0,0,0,1
Prelander Berroa,CHW,Prelander Berroa (CHW),0,0,0,0,0,1,0,1,37,1.25,3.4,360.96,354,354,0,0,0,0,0,0,0,0,1
Seranthony Domínguez,PHI,Seranthony Dominguez (PHI),0,0,0,0,0,2,3,13,57,1.29,4.04,360.9,352,353,0,0,0,0,0,0,0,0,1
John Brebbia,CHW,John Brebbia (CHW),0,0,0,0,0,2,2,12,55,1.27,4.6,357.55,267,360,0,0,0,0,0,0,0,0,1
Daniel Hudson,LAD,Daniel Hudson (LAD),0,0,0,0,0,2,1,12,45,1.22,4.03,334.76,242,357,0,0,0,0,0,0,0,0,1
Robert Suarez,SDP,Robert Suarez (SDP),0,0,0,0,0,2,26,4,60,1.28,4.16,176.51,89,275,0,0,0,0,0,0,0,0,1
Cade Horton,CHC,Cade Horton (CHC),0,0,0,0,0,1,0,0,20,1.31,4.58,360.77,338,355,0,0,0,0,0,0,0,0,1
Ryan Brasier,LAD,Ryan Brasier (LAD),0,0,0,0,0,3,1,16,55,1.27,4.46,360.81,328,328,0,0,0,0,0,0,0,0,1
Michael Kopech,CHW,Michael Kopech (CHW),0,0,0,0,0,3,16,8,76,1.39,4.73,313.26,177,360,0,0,0,0,0,0,0,0,1
Ronel Blanco,HOU,Ronel Blanco (HOU),0,0,0,0,0,4,0,4,76,1.41,4.9,360.35,307,357,0,0,0,0,0,0,0,0,1
Scott McGough,ARI,Scott McGough (ARI),0,0,0,0,0,2,2,14,60,1.41,4.62,360.89,352,358,0,0,0,0,0,0,0,0,1
Jonathan Loáisiga,NYY,Jonathan Loaisiga (NYY),0,0,0,0,0,2,3,13,37,1.26,4.17,360.99,359,359,0,0,0,0,0,0,0,0,1
Justin Lawrence,COL,Justin Lawrence (COL),0,0,0,0,0,2,17,7,64,1.54,4.73,344.17,221,360,0,0,0,0,0,0,0,0,1
Will Smith,KCR,Will Smith (KCR),0,0,0,0,0,2,13,8,57,1.33,4.57,255.7,159,329,0,0,0,0,0,0,0,0,1
Kyle Finnegan,WSN,Kyle Finnegan (WSN),0,0,0,0,0,2,22,7,61,1.38,4.74,237.33,146,336,0,0,0,0,0,0,0,0,1
Shelby Miller,DET,Shelby Miller (DET),0,0,0,0,0,2,1,12,54,1.43,4.84,360.49,328,358,0,0,0,0,0,0,0,0,1
Tyler Kinley,COL,Tyler Kinley (COL),0,0,0,0,0,2,8,9,58,1.4,4.99,352.4,272,359,0,0,0,0,0,0,0,0,1
Brock Stewart,MIN,Brock Stewart (MIN),0,0,0,0,0,2,2,14,58,1.45,5.03,350.45,267,360,0,0,0,0,0,0,0,0,1
Dany Jiménez,OAK,Dany Jimenez (OAK),0,0,0,0,0,2,4,13,56,1.35,4.47,360.51,290,346,0,0,0,0,0,0,0,0,1
Tyler Matzek,ATL,Tyler Matzek (ATL),0,0,0,0,0,2,0,10,48,1.62,5.17,360.93,349,349,0,0,0,0,0,0,0,0,1
Colin Rea,MIL,Colin Rea (MIL),0,0,0,0,0,8,0,1,114,1.34,5.02,360.55,307,352,0,0,0,0,0,0,0,0,1
Logan Allen,ARI,Logan Allen (ARI),0,0,0,0,0,1,0,1,16,1.48,4.91,360.76,318,318,0,0,0,0,0,0,0,0,1
Mason Miller,OAK,Mason Miller (OAK),0,0,0,0,0,0,0,0,0,0,0,194.52,124,304,0,0,0,0,0,0,0,0,1
Paul Skenes,PIT,Paul Skenes (PIT),0,0,0,0,0,0,0,0,0,0,0,268.24,175,358,0,0,0,0,0,0,0,0,1
Abner Uribe,MIL,Abner Uribe (MIL),0,0,0,0,0,0,0,0,0,0,0,322.89,196,360,0,0,0,0,0,0,0,0,1
Ricky Tiedemann,TOR,Ricky Tiedemann (TOR),0,0,0,0,0,0,0,0,0,0,0,347.61,257,360,0,0,0,0,0,0,0,0,1
Lucas Giolito,BOS,Lucas Giolito (BOS),0,0,0,0,0,0,0,0,0,0,0,349.16,180,293,0,0,0,0,0,0,0,0,1
Orion Kerkering,PHI,Orion Kerkering (PHI),0,0,0,0,0,0,0,0,0,0,0,354.73,265,360,0,0,0,0,0,0,0,0,1
Jordan Leasure,CHW,Jordan Leasure (CHW),0,0,0,0,0,0,0,0,0,0,0,359.52,315,359,0,0,0,0,0,0,0,0,1
Trevor Bauer,FA,Trevor Bauer (FA),0,0,0,0,0,0,0,0,0,0,0,360.34,335,360,0,0,0,0,0,0,0,0,1
Jackson Jobe,DET,Jackson Jobe (DET),0,0,0,0,0,0,0,0,0,0,0,360.59,302,360,0,0,0,0,0,0,0,0,1
Nick Nastrini,CHW,Nick Nastrini (CHW),0,0,0,0,0,0,0,0,0,0,0,360.59,326,356,0,0,0,0,0,0,0,0,1
Hurston Waldrep,ATL,Hurston Waldrep (ATL),0,0,0,0,0,0,0,0,0,0,0,360.97,356,356,0,0,0,0,0,0,0,0,1
Robert Gasser,MIL,Robert Gasser (MIL),0,0,0,0,0,0,0,0,0,0,0,360.97,356,356,0,0,0,0,0,0,0,0,1
